EventTime,Type,Open,High,Low,Close,Return,Sigma,H
12/4/12 23:15,DOWN,1.04757,1.0484,1.04638,1.0466,-0.000487173,0.000370894,0.001112683
12/5/12 5:20,UP,1.0465,1.04826,1.04647,1.04814,0.000381701,0.000381395,0.001144185
12/5/12 10:55,DOWN,1.04813,1.04849,1.04652,1.0466,-0.000983655,0.000392305,0.001176916
12/5/12 13:12,UP,1.04662,1.04745,1.04564,1.04734,0.00027693,0.000405461,0.001216384
12/5/12 16:37,DOWN,1.04734,1.04765,1.04592,1.04621,-0.000420477,0.00034612,0.00103836
12/5/12 17:11,DOWN,1.04623,1.04623,1.04422,1.0447,-0.000401948,0.000405868,0.001217604
12/5/12 18:05,UP,1.04475,1.04637,1.04452,1.04637,0.00098484,0.000454402,0.001363206
12/6/12 0:09,DOWN,1.04639,1.04684,1.04433,1.04538,-0.000229555,0.000393306,0.001179919
12/6/12 1:37,UP,1.04539,1.04799,1.04412,1.04776,0.003231144,0.00088528,0.002655839
12/6/12 10:55,UP,1.04778,1.04874,1.04552,1.04864,0.000944526,0.000669755,0.002009265
12/6/12 16:41,UP,1.04864,1.05046,1.04814,1.05017,0.00067631,0.000471215,0.001413646
12/6/12 17:48,DOWN,1.05019,1.05158,1.04897,1.04897,-0.000809991,0.000517134,0.001551403
12/6/12 21:00,DOWN,1.04894,1.0495,1.04708,1.04738,9.55E-06,0.000503092,0.001509275
12/7/12 10:12,DOWN,1.04746,1.04886,1.04699,1.04727,-0.000334146,0.00043895,0.00131685
12/7/12 15:24,UP,1.04729,1.04828,1.04598,1.04803,0.000620404,0.000493722,0.001481165
12/7/12 16:47,UP,1.04808,1.04931,1.04728,1.04912,0.000419487,0.000442777,0.001328332
12/7/12 19:59,DOWN,1.04907,1.04971,1.04792,1.04808,-8.59E-05,0.000431914,0.001295742
12/10/12 3:19,DOWN,1.04808,1.04918,1.04652,1.04722,-0.000954454,0.00041819,0.001254569
12/10/12 8:54,UP,1.04723,1.04855,1.04697,1.04848,0.000343413,0.000350433,0.001051299
12/10/12 10:24,DOWN,1.04842,1.04894,1.04722,1.04739,-4.77E-05,0.000330324,0.000990971
12/10/12 12:15,UP,1.04734,1.04839,1.04719,1.04838,0.000248032,0.000306543,0.00091963
12/10/12 14:19,UP,1.04832,1.05019,1.04832,1.04999,0.000705017,0.000350138,0.001050414
12/10/12 18:52,DOWN,1.04994,1.05059,1.04876,1.04884,-0.000676709,0.000308039,0.000924116
12/11/12 1:49,DOWN,1.04884,1.04933,1.04756,1.04768,-0.000610687,0.000312743,0.000938228
12/11/12 2:45,DOWN,1.0477,1.0477,1.04614,1.04622,-0.00088852,0.000385009,0.001155027
12/11/12 5:30,UP,1.04622,1.04787,1.04616,1.04787,0.000868806,0.000435385,0.001306155
12/11/12 11:11,UP,1.04779,1.04912,1.04745,1.04903,0.00045767,0.000370674,0.001112021
12/11/12 14:33,UP,1.04903,1.05025,1.04852,1.04992,0.000314359,0.000319873,0.000959619
12/11/12 16:11,UP,1.04992,1.05115,1.04968,1.05097,0.000104671,0.000302803,0.000908409
12/11/12 17:13,UP,1.05096,1.05258,1.05054,1.05184,0.000237707,0.000300542,0.000901627
12/11/12 18:53,UP,1.05189,1.05295,1.05133,1.05262,0.000228029,0.000343511,0.001030534
12/11/12 21:10,DOWN,1.05267,1.05326,1.0516,1.05175,-0.000950345,0.000396084,0.001188252
12/11/12 22:48,UP,1.05174,1.05309,1.05135,1.05309,0.000522409,0.000403655,0.001210966
12/12/12 5:54,DOWN,1.053,1.05416,1.05237,1.05246,-0.000209012,0.000379395,0.001138184
12/12/12 9:15,UP,1.05242,1.05421,1.05232,1.05405,0.000531425,0.000388834,0.001166502
12/12/12 13:50,UP,1.05405,1.05527,1.05353,1.05491,0.000161164,0.000330199,0.000990597
12/12/12 15:59,DOWN,1.05496,1.05562,1.05416,1.05419,-0.000540553,0.000340181,0.001020543
12/12/12 18:32,UP,1.05419,1.05643,1.05382,1.05549,0.00098581,0.000372042,0.001116125
12/12/12 18:49,UP,1.05555,1.05759,1.05481,1.05754,0.001798238,0.00059114,0.001773421
