EventTime,Type,Open,High,Low,Close,Return,Sigma,H
12/4/12 17:28,DOWN,1.61051,1.61138,1.60885,1.60912,-0.000217487,0.000337718,0.001013154
12/4/12 21:18,UP,1.60917,1.61068,1.60888,1.61053,4.35E-05,0.000278981,0.000836944
12/5/12 5:25,UP,1.61046,1.61186,1.60927,1.61159,0.000515152,0.000352533,0.001057599
12/5/12 10:37,DOWN,1.61157,1.61186,1.60943,1.6102,-4.35E-05,0.000279617,0.00083885
12/5/12 12:19,UP,1.6102,1.61135,1.60928,1.61072,0.000211108,0.000264594,0.000793782
12/5/12 14:10,DOWN,1.6107,1.61149,1.60957,1.60957,-0.000714221,0.000298306,0.000894918
12/5/12 16:34,UP,1.60952,1.61098,1.60825,1.61078,0.000434667,0.000347907,0.001043722
12/5/12 21:48,DOWN,1.61077,1.61097,1.60885,1.60903,-0.000503282,0.000310621,0.000931863
12/6/12 9:40,UP,1.60908,1.61065,1.60784,1.61063,0.000763968,0.000334614,0.001003843
12/6/12 14:00,UP,1.61067,1.61282,1.61006,1.61178,0.000366122,0.000277986,0.000833958
12/6/12 14:59,DOWN,1.61185,1.61225,1.60987,1.61038,-0.000124187,0.000262017,0.000786052
12/6/12 16:04,DOWN,1.61043,1.61169,1.60898,1.60955,-0.000571425,0.000316846,0.000950538
12/6/12 16:27,DOWN,1.60963,1.60976,1.6074,1.60777,-0.000547192,0.000332224,0.000996673
12/6/12 17:26,DOWN,1.60779,1.60897,1.60631,1.60634,-0.000130723,0.000332419,0.000997258
12/6/12 18:34,DOWN,1.60638,1.60725,1.60427,1.60444,-0.000573244,0.000375998,0.001127993
12/7/12 8:14,UP,1.60446,1.60599,1.60359,1.60566,0.000274068,0.000334691,0.001004073
12/7/12 9:29,DOWN,1.60564,1.60615,1.60372,1.60388,-0.000180795,0.00031296,0.000938881
12/7/12 10:37,DOWN,1.60386,1.605,1.60226,1.6032,-0.000212053,0.000317098,0.000951295
12/7/12 12:25,DOWN,1.60313,1.60436,1.60212,1.60222,-0.000642651,0.000339068,0.001017204
